datetime,load_mw,temperature_c,cloud_cover_pct,irradiance_wm2,wind_speed,solar_mw
2015-01-01 00:00:00,16375.0,-5.8,0,0.0,20.0,0.0
2015-01-01 01:00:00,16172.0,-5.8,0,0.0,19.8,0.0
2015-01-01 02:00:00,15968.0,-5.9,0,0.0,19.9,0.0
2015-01-01 03:00:00,15749.0,-6.1,0,0.0,19.4,0.0
2015-01-01 04:00:00,15727.0,-6.2,1,0.0,19.2,0.0
2015-01-01 05:00:00,15710.0,-6.3,31,0.0,17.6,0.0
2015-01-01 06:00:00,15937.0,-6.5,32,0.0,15.8,0.0
2015-01-01 07:00:00,16239.0,-6.6,1,0.0,15.9,0.0
2015-01-01 08:00:00,16573.0,-6.6,4,0.0,17.3,0.0
2015-01-01 09:00:00,16600.0,-6.5,0,0.0,17.1,0.0
2015-01-01 10:00:00,16439.0,-5.7,6,65.0,16.6,1.3
2015-01-01 11:00:00,16306.0,-3.9,26,217.0,21.4,4.34
2015-01-01 12:00:00,16064.0,-2.3,73,353.0,24.4,7.06
2015-01-01 13:00:00,15760.0,-0.7,68,442.0,25.7,8.84
2015-01-01 14:00:00,15511.0,0.4,71,463.0,26.6,9.26
2015-01-01 15:00:00,15124.0,1.3,7,440.0,27.1,8.8
2015-01-01 16:00:00,15000.0,1.7,2,366.0,26.2,7.32
2015-01-01 17:00:00,15365.0,1.5,79,241.0,22.3,4.82
2015-01-01 18:00:00,16413.0,0.4,95,83.0,16.8,1.66
2015-01-01 19:00:00,16662.0,-0.4,100,2.0,16.9,0.04
2015-01-01 20:00:00,16586.0,-0.8,100,0.0,18.4,0.0
2015-01-01 21:00:00,16312.0,-1.0,100,0.0,18.0,0.0
2015-01-01 22:00:00,15859.0,-1.4,100,0.0,17.1,0.0
2015-01-01 23:00:00,15195.0,-1.6,100,0.0,15.8,0.0
2015-01-02 00:00:00,14722.0,-1.9,100,0.0,15.5,0.0
2015-01-02 01:00:00,14338.0,-2.0,100,0.0,15.5,0.0
2015-01-02 02:00:00,14123.0,-2.2,100,0.0,13.6,0.0
2015-01-02 03:00:00,13981.0,-2.2,99,0.0,12.1,0.0
2015-01-02 04:00:00,13822.0,-2.3,100,0.0,10.8,0.0
2015-01-02 05:00:00,14111.0,-2.5,100,0.0,10.8,0.0
2015-01-02 06:00:00,14627.0,-2.7,98,0.0,8.7,0.0
2015-01-02 07:00:00,15440.0,-2.9,95,0.0,7.2,0.0
2015-01-02 08:00:00,16133.0,-3.1,99,0.0,8.5,0.0
2015-01-02 09:00:00,16422.0,-3.1,52,0.0,6.3,0.0
2015-01-02 10:00:00,16395.0,-2.1,15,39.0,7.9,0.78
2015-01-02 11:00:00,16238.0,-1.0,95,137.0,8.6,2.74
2015-01-02 12:00:00,16294.0,0.1,92,228.0,7.9,4.56
2015-01-02 13:00:00,16008.0,0.8,100,272.0,8.3,5.44
2015-01-02 14:00:00,15816.0,1.5,98,322.0,8.0,6.44
2015-01-02 15:00:00,15563.0,2.7,99,353.0,6.6,7.06
2015-01-02 16:00:00,15400.0,2.9,99,291.0,6.0,5.82
2015-01-02 17:00:00,15607.0,2.7,98,183.0,3.9,3.66
2015-01-02 18:00:00,16460.0,1.9,98,65.0,5.9,1.3
2015-01-02 19:00:00,16662.0,0.3,96,2.0,7.4,0.04
2015-01-02 20:00:00,16454.0,-0.5,99,0.0,6.9,0.0
2015-01-02 21:00:00,16322.0,-1.0,95,0.0,6.6,0.0
2015-01-02 22:00:00,16035.0,-1.5,99,0.0,7.6,0.0
2015-01-02 23:00:00,15406.0,-1.9,100,0.0,6.2,0.0
2015-01-03 00:00:00,14722.0,-2.1,98,0.0,8.0,0.0
2015-01-03 01:00:00,14146.0,-1.8,100,0.0,9.2,0.0
2015-01-03 02:00:00,13723.0,-1.1,100,0.0,11.2,0.0
2015-01-03 03:00:00,13530.0,-0.4,100,0.0,11.3,0.0
2015-01-03 04:00:00,13457.0,-0.1,100,0.0,13.0,0.0
2015-01-03 05:00:00,13589.0,0.1,100,0.0,14.0,0.0
2015-01-03 06:00:00,13918.0,0.1,100,0.0,14.5,0.0
2015-01-03 07:00:00,14231.0,0.4,100,0.0,13.3,0.0
2015-01-03 08:00:00,14747.0,0.8,100,0.0,15.3,0.0
2015-01-03 09:00:00,15053.0,1.3,100,0.0,18.9,0.0
2015-01-03 10:00:00,15415.0,2.1,100,3.0,19.3,0.06
2015-01-03 11:00:00,15637.0,3.1,100,13.0,20.5,0.26
2015-01-03 12:00:00,15701.0,4.4,100,18.0,21.7,0.36
2015-01-03 13:00:00,15476.0,5.8,100,38.0,22.6,0.76
2015-01-03 14:00:00,15334.0,7.0,100,43.0,23.0,0.86
2015-01-03 15:00:00,15152.0,8.0,100,27.0,20.9,0.54
2015-01-03 16:00:00,14958.0,8.8,100,14.0,18.0,0.28
2015-01-03 17:00:00,15088.0,10.1,100,12.0,18.4,0.24
2015-01-03 18:00:00,15588.0,11.5,100,6.0,26.3,0.12
2015-01-03 19:00:00,15414.0,12.2,100,0.0,28.1,0.0
2015-01-03 20:00:00,15125.0,12.6,100,0.0,27.0,0.0
2015-01-03 21:00:00,14763.0,13.0,100,0.0,23.8,0.0
2015-01-03 22:00:00,14251.0,13.3,100,0.0,22.6,0.0
2015-01-03 23:00:00,13740.0,13.4,100,0.0,21.2,0.0
2015-01-04 00:00:00,13009.0,13.5,100,0.0,22.6,0.0
2015-01-04 01:00:00,12538.0,13.4,100,0.0,23.3,0.0
2015-01-04 02:00:00,12206.0,13.4,100,0.0,22.7,0.0
2015-01-04 03:00:00,11931.0,13.7,100,0.0,23.0,0.0
2015-01-04 04:00:00,11785.0,13.7,100,0.0,24.6,0.0
2015-01-04 05:00:00,11704.0,13.2,100,0.0,22.9,0.0
