datetime,load,solar,price,grid,charge,discharge,soc
2018-08-02 01:00:00,13286.0,0.0,40.0,13286.0,0.0,0.0,20.0
2018-08-02 02:00:00,12587.0,0.0,40.0,12587.0,0.0,0.0,20.000000000000004
2018-08-02 03:00:00,12296.0,0.0,40.0,12296.0,0.0,0.0,20.000000000000004
2018-08-02 04:00:00,12059.0,0.0,40.0,12059.0,0.0,0.0,20.000000000000004
2018-08-02 05:00:00,12224.0,0.0,40.0,12225.052631578947,1.052631578947372,0.0,21.000000000000004
2018-08-02 06:00:00,12781.0,0.0,40.0,12791.0,10.0,0.0,30.5
2018-08-02 07:00:00,13661.0,0.08,40.0,13670.92,10.0,0.0,40.0
2018-08-02 08:00:00,14326.0,1.12,80.0,14314.88,0.0,10.0,29.47368421052632
2018-08-02 09:00:00,14834.0,2.56,80.0,14821.44,0.0,10.0,18.947368421052637
2018-08-02 10:00:00,15309.0,4.96,80.0,15294.04,0.0,10.0,8.421052631578956
2018-08-02 11:00:00,16025.0,7.06,80.0,16013.74,0.0,4.200000000000007,4.0
2018-08-02 12:00:00,16651.0,8.4,80.0,16642.6,0.0,0.0,4.0
2018-08-02 13:00:00,17423.0,10.52,80.0,17412.48,0.0,0.0,4.0
2018-08-02 14:00:00,18067.0,14.0,80.0,18053.0,0.0,0.0,4.0
2018-08-02 15:00:00,18534.0,9.9,80.0,18524.1,0.0,0.0,4.0
2018-08-02 16:00:00,18826.0,8.46,80.0,18817.54,0.0,0.0,4.0
2018-08-02 17:00:00,18869.0,7.72,80.0,18861.28,0.0,0.0,4.0
2018-08-02 18:00:00,18562.0,5.76,80.0,18556.24,0.0,0.0,4.0
2018-08-02 19:00:00,18118.0,3.88,80.0,18114.12,0.0,0.0,4.0
2018-08-02 20:00:00,17673.0,1.7,40.0,17671.3,0.0,0.0,4.0
2018-08-02 21:00:00,17303.0,0.26,40.0,17302.74,0.0,0.0,4.0
2018-08-02 22:00:00,17001.0,0.0,40.0,17001.0,0.0,0.0,4.0
2018-08-02 23:00:00,15964.0,0.0,40.0,15970.842105263158,6.842105263157897,0.0,10.500000000000002
2018-08-03 00:00:00,14809.0,0.0,40.0,14819.0,10.0,0.0,20.0
